Variabelenaam,Missing percentage
g_afs_gs: Afstand tot grote supermarkt ,5.24%
g_afs_kv: Afstand tot kinderdagverblijf ,5.24%
g_afs_sc: Afstand tot school ,5.24%
g_3km_sc: Scholen binnen 3 km ,5.24%
Oppervlakte,0.00%
a_opp_ha: Oppervlakte totaal ,0.00%
a_lan_ha: Oppervlakte land ,0.00%
a_wat_ha: Oppervlakte water ,0.00%
Postcode,0.68%
pst_mvp: Meest voorkomende postcode,0.68%
pst_dekp: Dekkingspercentage,0.68%
Stedelijkheid,0.60%
ste_mvs: Mate van stedelijkheid,0.60%
ste_oad: Omgevingsadressendichtheid,0.60%
