model,dataset,tuning,rmse_full,rmse_reduced,delta_rmse,r2_full,r2_reduced,delta_r2
RF,base,tuned,0.5732297885134596,0.642523424652992,0.06929363613953232,0.828199322924079,0.7841533561757363,-0.04404596674834271
RF,boundary,tuned,0.5776294741434548,0.6147949636315154,0.03716548948806064,0.8255519737128133,0.8023813302651063,-0.02317064344770703
RF,queen,tuned,0.5815972959776475,0.6045690209574202,0.022971724979772623,0.8231471240389607,0.8089006771001306,-0.014246446938830148
XGB,base,tuned,0.5579913649455303,0.6362448462603508,0.07825348131482057,0.8372120231901083,0.7883511445680358,-0.04886087862207256
XGB,boundary,tuned,0.5560011636615803,0.600321315849769,0.044320152188188744,0.8383711918999835,0.8115765732170456,-0.026794618682937976
XGB,queen,tuned,0.5609536145285383,0.5916033033077046,0.030649688779166295,0.8354790264398965,0.81700949745637,-0.018469528983526495
