dataset,model,tuning,rmse,mae,r2
base,XGB,tuned,0.5579913649455303,0.40866238303210567,0.8372120231901083
boundary,XGB,tuned,0.5560011636615803,0.40497029009020036,0.8383711918999835
queen,XGB,tuned,0.5609536145285383,0.40770525227550614,0.8354790264398965
