model,tuning,dataset,rmse,mae,r2
OLS,mvp,queen,0.6769225759673496,0.5131327672519838,0.7604228654975861
RF,mvp,base,0.5765671490680144,0.420616091136671,0.8261930424546975
RF,tuned,base,0.5732297885134596,0.4181832165845018,0.828199322924079
XGB,mvp,base,0.5607703985542359,0.409554755367684,0.8355864789889974
XGB,tuned,boundary,0.5560011636615803,0.40497029009020036,0.8383711918999835
