regio,n,mean_true,mean_pred,mean_residual,mae,max_abs_error
Stationsbuurt,5,4.615765048524942,4.31679401397705,0.2989710345478908,0.5974091312855989,0.9220966060424328
Centrum,14,5.170675124440007,5.112573623657227,0.05810150078278041,0.32391666707825656,0.6026693837317891
Verspreide huizen,6,2.6573208507066783,2.6337369084358215,0.02358394227085678,0.2633552000295392,0.6661869827009674
