a_pau_decile,n,mean_y_true,mean_y_pred,mean_residual,MAE,RMSE,R2,pct_underpredicted,pct_overpredicted
0,280,1.5900264535639552,1.5829287517017552,0.007097701862200105,0.6920646651799326,0.8902313949212098,0.5486162192560713,44.285714285714285,55.714285714285715
1,294,1.8804874444427286,1.8914988808283189,-0.01101143638559013,0.580098394724721,0.7286903764005441,0.60779397460699,45.57823129251701,54.421768707483
2,265,2.1230032938718426,2.177763063277838,-0.054759769405995654,0.5604153856665536,0.6988093708023316,0.5791222126567848,46.79245283018868,53.20754716981132
3,272,2.520997179810274,2.5593054916928795,-0.038308311882605466,0.45187193139974985,0.5828700240381804,0.6253959580367427,47.42647058823529,52.57352941176471
4,274,2.9651985598413724,2.9475389040299578,0.017659655811414324,0.36213199312671673,0.485509769903747,0.726813742996497,54.379562043795616,45.62043795620438
5,272,3.281345837272872,3.3350455765338505,-0.053699739260978534,0.339075925638991,0.4432564967491493,0.7437736080151944,45.220588235294116,54.779411764705884
6,275,3.6622415880264065,3.6514519916881216,0.010789596338285107,0.30367909427728274,0.39151901144904283,0.7652496887293083,49.45454545454545,50.54545454545455
7,276,3.8787604170305303,3.8710950500723245,0.00766536695820609,0.2864150524386618,0.38276776699497644,0.769383305554674,50.36231884057971,49.63768115942029
8,275,4.213670387048778,4.188845076994462,0.02482531005431609,0.24880596422735146,0.31272909554392175,0.8398397334352945,52.36363636363637,47.63636363636364
9,276,4.730169564204051,4.725716916547305,0.004452647656745567,0.21171832105925803,0.2783842770149139,0.7944825698477442,45.65217391304348,54.347826086956516
