true_level,n,mean_true,mean_pred,mean_residual,rmse,mae,max_abs_error
very low,557,1.0370248165691294,1.4417184800765672,-0.40469366350743785,0.7084467784159999,0.5680116903567612,2.3210153579711914
low,558,2.37762834405984,2.4577477986133225,-0.08011945455348295,0.5296464741095644,0.41887213862610195,1.8078778453294524
medium,540,3.1863060132883083,3.106301416622268,0.08000459666604036,0.5181999955617398,0.3635427602865599,2.642545465879647
high,559,3.923912575264701,3.7868575727790326,0.13705500248566815,0.4751841798627558,0.3236559594961917,2.6047417378554276
very high,545,4.908067792636019,4.669265390536107,0.2388024020999117,0.5168553812694503,0.3485561349792078,3.183894411156966
