bev_dich_decile,n,mean_y_true,mean_y_pred,mean_residual,MAE,RMSE,R2,pct_underpredicted,pct_overpredicted
0,1423,2.046352248796444,2.0338874233445483,0.012464825451896006,0.5580540936728587,0.7212814374153027,0.6418512791992225,49.262122276879836,50.73787772312017
1,1387,2.395712801874037,2.398356410743912,-0.002643608869874795,0.5340087232125875,0.6939623764049735,0.6131411165353142,49.02667627974044,50.97332372025956
2,1401,2.5026541387521073,2.4908529316752532,0.011801207076853911,0.5152963084802457,0.6719531000506871,0.6811798149173776,50.03568879371877,49.964311206281224
3,1397,2.4797764340885045,2.4696225791785573,0.010153854909947194,0.44035645986009064,0.5749011602594662,0.7812233614281351,51.25268432355047,48.74731567644954
4,1539,2.785714229715337,2.777418496902933,0.008295732812403691,0.42703130464671046,0.5757885391583148,0.8109611262091432,49.772579597141,50.227420402859
5,1264,3.3237286392984413,3.319155302888985,0.004573336409457155,0.33833520483135043,0.45272883827561805,0.84278134033109,50.0,50.0
6,1402,3.6439819117289978,3.6387011228759008,0.005280788853097201,0.31319022565979016,0.4274440147793432,0.8369995752947816,49.57203994293866,50.42796005706134
9,1402,4.532227168841463,4.567564585962241,-0.03533741712077788,0.30160157797550674,0.3962899205892478,0.8582223590687328,45.50641940085592,54.493580599144074
8,1400,3.9077000845254886,3.91790047620024,-0.010200391674751307,0.2910722376815969,0.3870486331964946,0.8474906299783209,49.357142857142854,50.642857142857146
7,1404,3.7999827538169426,3.802367433098986,-0.002384679282043191,0.2901577174756812,0.382474183313958,0.8569557354422951,49.43019943019943,50.56980056980057
