queen_lag_sum_bev_dich_decile,n,mean_y_true,mean_y_pred,mean_residual,MAE,RMSE,R2,pct_underpredicted,pct_overpredicted
2.0,1401,2.3820099215340798,2.3684400988584495,0.013569822675630132,0.4708642281753769,0.6247294376198295,0.6886434997877573,48.965024982155605,51.034975017844395
1.0,1399,2.1423476016789795,2.1469950683207237,-0.004647466641743945,0.46305196304952945,0.6232734449006062,0.7509644288909194,49.17798427448177,50.822015725518234
3.0,1401,2.7101032652675556,2.7053108829852035,0.004792382282352112,0.42896815320966974,0.5726244571899428,0.7520200724979424,51.67737330478231,48.3226266952177
4.0,1401,2.992118895787727,2.986265651036126,0.005853244751601518,0.41419209153134484,0.5607175036103718,0.7625874605877537,49.67880085653105,50.32119914346895
0.0,1403,2.0537440035065675,2.0594723282258425,-0.005728324719275171,0.4067339662120321,0.5446490708193076,0.8051130006751177,50.03563791874554,49.96436208125446
5.0,1400,3.2975711695242667,3.2986362065268415,-0.0010650370025748832,0.4022299861920643,0.5510157820988153,0.7573887940303811,49.28571428571429,50.71428571428571
6.0,1401,3.4749404494090137,3.4673938749093485,0.0075465744996656295,0.3675421923915034,0.5085351443711417,0.7677827416455445,50.96359743040685,49.03640256959314
9.0,1401,4.633723851758391,4.636420019433636,-0.0026961676752446984,0.3567549735822899,0.4866761241115991,0.7992781891774099,45.89578872234119,54.10421127765882
7.0,1401,3.6962005132684768,3.707000875030561,-0.010800361762084276,0.35063666544382016,0.4809303096788095,0.7830582058522485,47.60885082084226,52.39114917915775
8.0,1401,3.9852079230533484,3.969396830881433,0.015811092171915356,0.3392214784319663,0.45590124813994787,0.7921743994524711,49.67880085653105,50.32119914346895
