pop_density_per_km2_decile,n,mean_y_true,mean_y_pred,mean_residual,MAE,RMSE,R2,pct_underpredicted,pct_overpredicted
0,1402,2.0418705514405184,2.0217991082181093,0.02007144322240913,0.5871094520503861,0.7509571825444238,0.6366872434171069,49.78601997146933,50.21398002853067
1,1402,2.3214532456994146,2.3153586128989656,0.006094632800448746,0.532282089482253,0.7032273990718627,0.6106480342440446,49.35805991440799,50.641940085592005
2,1402,2.5565881320590798,2.535645715236005,0.020942416823074957,0.5196024436144132,0.6771970743196409,0.6669172578375098,50.0,50.0
3,1402,2.38228393931229,2.4041619694681464,-0.021878030155856428,0.458259561975876,0.5917287382611529,0.7744446052976864,48.288159771754636,51.711840228245364
4,1405,2.8578714165912213,2.847633720824356,0.010237695766865758,0.38362902511571084,0.5053886831965578,0.832967007103444,51.530249110320284,48.469750889679716
5,1398,3.340151891762468,3.3347102750908153,0.0054416166716534315,0.34310766952368466,0.46134984398430917,0.8390035214902073,50.5722460658083,49.427753934191706
6,1406,3.615383574440858,3.613357758984118,0.002025815456740054,0.31713175076132005,0.4301256761886658,0.8370871399949733,49.075391180654336,50.924608819345664
9,1401,4.525145268328271,4.55704047439951,-0.03189520607123793,0.3003241428851834,0.3932745268532743,0.8573782940100207,45.396145610278374,54.603854389721626
7,1402,3.8102349339032857,3.807978334593535,0.0022565993097511702,0.29064028580680257,0.3855704881230788,0.8578487374173254,49.78601997146933,50.21398002853067
8,1399,3.9108361484903207,3.921645533578408,-0.01080938508808703,0.28622938437517853,0.38172505047366145,0.8518366796187272,49.39242315939957,50.60757684060043
