dataset,model,rmse_val_mean,rmse_val_std,mae_val_mean,mae_val_std,r2_val_mean,r2_val_std
base,XGB,0.582897974175803,0.012007821003347062,0.4264290606030333,0.004681300838051198,0.8239792384319147,0.009739669626882079
base,RF,0.6031145760071378,0.011829605962431307,0.43998642132580523,0.0044617094907765395,0.8116638557882375,0.007455763567050468
base,OLS,0.7248321244207171,0.025613410792051483,0.5402493062258793,0.010857238868236224,0.7280329937257656,0.014174209539842905
boundary,XGB,0.5809070405326812,0.009739185500308492,0.4254243727568346,0.004859804195492088,0.8251434398349566,0.010045489872048717
boundary,RF,0.6031037704002562,0.011000153684414777,0.4405654187752336,0.005084396489556459,0.8116287209980353,0.008455651054959016
boundary,OLS,0.7190993448703205,0.026497597426324758,0.5374024982718705,0.011719673117511823,0.732267536467185,0.015656826499948845
spatial,XGB,0.5780142280997242,0.008214942793814468,0.4251889239513368,0.003215513072899821,0.8267450190400976,0.012242943838726301
spatial,RF,0.596650483929022,0.00791015072320702,0.43956143245558615,0.005329088926041486,0.8154928554428403,0.011081330918454178
spatial,OLS,0.7040732782869717,0.024235418296756427,0.5268153738845742,0.009861086821920297,0.7433973915743043,0.01285960835892838
